Date,Close,Volume,Daily_Return_pct,article_count,mean_sentiment,positive_count,negative_count
2023-07-12,271.989990234375,95672100,0.8154422401772665,1.0,0.0,0.0,0.0
2023-07-13,277.8999938964844,112681500,2.172875427149612,2.0,0.0,0.0,0.0
2023-07-14,281.3800048828125,120062400,1.2522529912772917,3.0,-0.324679970741272,0.0,1.0
2023-07-17,290.3800048828125,131569600,3.1985215167468217,3.0,0.007319211959838867,1.0,1.0
2023-07-18,293.3399963378906,112120300,1.0193509901870401,2.0,-0.8387800455093384,0.0,2.0
2023-07-19,291.260009765625,142355400,-0.7090702250741598,2.0,-0.478960782289505,0.0,1.0
2023-07-20,262.8999938964844,175158300,-9.737009860008495,2.0,-0.3435438275337219,0.0,1.0
2023-07-21,260.0199890136719,161796100,-1.0954754468143868,2.0,-0.3570294976234436,0.0,1.0
2023-07-24,269.05999755859375,136508500,3.476659075024635,3.0,0.0,0.0,0.0
2023-07-25,265.2799987792969,112757300,-1.4048906614123058,3.0,0.2821801503499349,1.0,0.0
2023-07-26,264.3500061035156,95856200,-0.35057022016762307,2.0,-0.781047523021698,0.0,2.0
2023-07-27,255.7100067138672,103697300,-3.2683938680391544,1.0,-0.5010863542556763,0.0,1.0
2023-07-28,266.44000244140625,111446000,4.196157931177735,3.0,-0.30388806263605755,0.0,1.0
2023-07-31,267.42999267578125,84582200,0.371562162326855,3.0,-0.30455221732457477,0.0,1.0
2023-08-01,261.07000732421875,83166000,-2.3781870118334214,1.0,0.0,0.0,0.0
2023-08-02,254.11000061035156,101752900,-2.665954157355066,2.0,0.32455363869667053,1.0,0.0
2023-08-03,259.32000732421875,97569100,2.0502958173047814,1.0,0.5932967066764832,1.0,0.0
2023-08-04,253.86000061035156,99539900,-2.105509239416581,3.0,-0.18096969525019327,0.0,1.0
2023-08-07,251.4499969482422,111097900,-0.9493435973824349,3.0,0.0,0.0,0.0
2023-08-08,249.6999969482422,96642200,-0.6959634206558429,2.0,0.0,0.0,0.0
2023-08-09,242.19000244140625,101596300,-3.007606967809695,2.0,0.0,0.0,0.0
2023-08-10,245.33999633789062,109498600,1.3006292021680244,2.0,0.0,0.0,0.0
2023-08-11,242.64999389648438,99038600,-1.096438608281991,1.0,0.0,0.0,0.0
2023-08-14,239.75999450683594,98595300,-1.1910156448968756,3.0,0.2802268664042155,1.0,0.0
2023-08-15,232.9600067138672,88197600,-2.8361644764614224,3.0,0.0,0.0,0.0
2023-08-16,225.60000610351562,112484500,-3.159340830287438,2.0,0.0,0.0,0.0
2023-08-17,219.22000122070312,120718400,-2.828016272253586,2.0,0.0,0.0,0.0
2023-08-18,215.49000549316406,136276600,-1.7014851321818125,1.0,-0.7064669132232666,0.0,1.0
2023-08-21,231.27999877929688,135702700,7.3274828918382,3.0,-0.1997430920600891,0.0,1.0
2023-08-22,233.19000244140625,130442800,0.8258403978685713,3.0,0.19930464029312134,1.0,0.0
2023-08-23,236.86000061035156,101077600,1.573823118710882,3.0,0.5389848550160726,2.0,0.0
2023-08-24,230.0399932861328,99777400,-2.879341090367582,0.0,0.0,0.0,0.0
2023-08-25,238.58999633789062,106612200,3.7167463490241914,3.0,-0.22559773921966553,0.0,1.0
2023-08-28,238.82000732421875,107673700,0.09640428763089126,3.0,-0.28821595509847003,0.0,1.0
2023-08-29,257.17999267578125,134047600,7.687791972402569,3.0,-0.21683772404988608,0.0,1.0
2023-08-30,256.8999938964844,121988400,-0.10887269121663268,3.0,0.0,0.0,0.0
2023-08-31,258.0799865722656,108861700,0.4593198535678855,0.0,0.0,0.0,0.0
2023-09-01,245.00999450683594,132541600,-5.064318329763218,3.0,0.047295173009236656,2.0,1.0
2023-09-05,256.489990234375,129469600,4.6855214011356505,3.0,0.0,0.0,0.0
2023-09-06,251.9199981689453,116959800,-1.7817428513501543,1.0,0.0,0.0,0.0
2023-09-07,251.49000549316406,115312900,-0.17068620153485314,2.0,-0.46073153614997864,0.0,1.0
2023-09-08,248.5,118367700,-1.188916230408743,2.0,0.0,0.0,0.0
2023-09-11,273.5799865722656,174667900,10.092549928477123,3.0,0.011892855167388916,1.0,1.0
2023-09-12,267.4800109863281,135999900,-2.229686338670178,2.0,0.0,0.0,0.0
2023-09-13,271.29998779296875,111673700,1.4281354305895722,2.0,0.0,0.0,0.0
2023-09-14,276.0400085449219,107709800,1.7471511114000693,1.0,-0.5582973957061768,0.0,1.0
2023-09-15,274.3900146484375,133692300,-0.5977372284481253,3.0,-0.2000115911165873,0.0,1.0
2023-09-18,265.2799987792969,101543300,-3.3200974462619715,3.0,-0.29720181226730347,0.0,1.0
2023-09-19,266.5,103704000,0.45989189773711914,2.0,0.0,0.0,0.0
2023-09-20,262.5899963378906,122514600,-1.4671683535119606,2.0,0.2546843886375427,1.0,0.0
2023-09-21,255.6999969482422,119951500,-2.6238620989897266,2.0,0.35397183895111084,1.0,0.0
2023-09-22,244.8800048828125,127524100,-4.231518261464751,1.0,0.0,0.0,0.0
2023-09-25,246.99000549316406,104636600,0.8616467528091087,3.0,0.0,0.0,0.0
2023-09-26,244.1199951171875,101993600,-1.161994539109401,1.0,0.0,0.0,0.0
2023-09-27,240.5,136597200,-1.4828753029631048,3.0,-0.2765205502510071,0.0,1.0
2023-09-28,246.3800048828125,117058900,2.444908475181906,0.0,0.0,0.0,0.0
2023-09-29,250.22000122070312,128522700,1.5585665483353939,3.0,-0.5939743916193644,0.0,2.0
2023-10-02,251.60000610351562,123810400,0.5515166158101437,3.0,0.0,0.0,0.0
2023-10-03,246.52999877929688,101985300,-2.0151062008054166,3.0,-0.19615103801091513,1.0,2.0
2023-10-04,261.1600036621094,129721600,5.934371052307452,1.0,-0.889449417591095,0.0,1.0
2023-10-05,260.04998779296875,119159200,-0.42503287393760303,2.0,0.0,0.0,0.0
2023-10-06,260.5299987792969,118121800,0.1845841218459432,2.0,-0.4069362282752991,0.0,1.0
2023-10-09,259.6700134277344,101377900,-0.3300907210654902,3.0,-0.3160727818806966,0.0,1.0
2023-10-10,263.6199951171875,122656000,1.5211543440507347,2.0,-0.25167012214660645,0.0,1.0
2023-10-11,262.989990234375,103706300,-0.2389822071472425,2.0,0.0,0.0,0.0
2023-10-12,258.8699951171875,111508100,-1.5665976919941982,2.0,0.0,0.0,0.0
2023-10-13,251.1199951171875,102073800,-2.993780718577166,1.0,0.6390765309333801,1.0,0.0
2023-10-16,253.9199981689453,88917200,1.115006015531006,3.0,0.0,0.0,0.0
2023-10-17,254.85000610351562,93562900,0.36626021631882555,3.0,-0.6001255114873251,0.0,2.0
2023-10-18,242.67999267578125,125147800,-4.775363208267347,2.0,-0.956231027841568,0.0,2.0
2023-10-19,220.11000061035156,170772700,-9.300310180733785,1.0,-0.8632275462150574,0.0,1.0
2023-10-20,211.99000549316406,138010100,-3.6890623300491754,3.0,-0.5956201752026876,0.0,2.0
2023-10-23,212.0800018310547,150683400,0.04245310418349302,3.0,-0.32437944412231445,0.0,1.0
2023-10-24,216.52000427246094,118231100,2.093550737020089,3.0,-0.29187772671381634,0.0,1.0
2023-10-25,212.4199981689453,107065100,-1.8935922882932887,2.0,-0.48127833008766174,0.0,1.0
2023-10-26,205.75999450683594,115112600,-3.1352997455599385,2.0,-0.08426448702812195,1.0,1.0
2023-10-27,207.3000030517578,94881200,0.748448962886572,1.0,0.0,0.0,0.0
2023-10-30,197.36000061035156,136448200,-4.794984223383958,3.0,-0.6389129559199015,0.0,2.0
2023-10-31,200.83999633789062,118068300,1.7632730628176496,1.0,0.5952559113502502,1.0,0.0
2023-11-01,205.66000366210938,121661700,2.3999240251476817,2.0,-0.430362343788147,0.0,1.0
2023-11-02,218.50999450683594,125987600,6.248172039245192,2.0,-0.4601745903491974,0.0,1.0
2023-11-03,219.9600067138672,119534800,0.6635907937775798,1.0,0.0,0.0,0.0
2023-11-06,219.27000427246094,117335800,-0.31369449915676917,3.0,0.19484768311182657,1.0,0.0
2023-11-07,222.17999267578125,116900100,1.3271256198382764,2.0,0.0,0.0,0.0
2023-11-08,222.11000061035156,106584800,-0.031502415940676265,2.0,-0.475741982460022,0.0,1.0
2023-11-09,209.97999572753906,142110500,-5.461260118625733,1.0,-0.8307788372039795,0.0,1.0
2023-11-10,214.64999389648438,130994000,2.2240205086035525,2.0,0.0,0.0,0.0
2023-11-13,223.7100067138672,140447600,4.220830689495392,3.0,0.19187190135320029,1.0,0.0
2023-11-14,237.41000366210938,149771600,6.123998273248876,3.0,0.22490912675857544,1.0,0.0
2023-11-15,242.83999633789062,150354000,2.2871793909364557,3.0,-0.2624167998631795,0.0,1.0
2023-11-16,233.58999633789062,136816800,-3.8090924639652135,1.0,-0.9414372444152832,0.0,1.0
2023-11-17,234.3000030517578,142532800,0.3039542467564216,2.0,-0.47339871525764465,0.0,1.0
2023-11-20,235.60000610351562,116320100,0.5548455120893081,3.0,-0.46313414971033734,0.0,2.0
2023-11-21,241.1999969482422,122288000,2.3769060694616817,3.0,-0.34990423917770386,0.0,2.0
2023-11-22,234.2100067138672,117950600,-2.8980059381488954,2.0,-0.8550196588039398,0.0,2.0
2023-11-24,235.4499969482422,65125200,0.529435207219775,3.0,-0.8386682271957397,0.0,3.0
2023-11-27,236.0800018310547,112031800,0.26757481035388775,3.0,0.0,0.0,0.0
2023-11-28,246.72000122070312,148549900,4.506946504203557,1.0,-0.6841310262680054,0.0,1.0
2023-11-29,244.13999938964844,135401300,-1.0457205813430348,3.0,-0.5001783569653829,0.0,2.0
2023-11-30,240.0800018310547,132353200,-1.6629792613843564,1.0,0.0,0.0,0.0
2023-12-01,238.8300018310547,121331700,-0.5206597761023168,3.0,-0.18716434637705484,0.0,1.0
2023-12-04,235.5800018310547,104099800,-1.360800559009756,3.0,-0.2944675882657369,0.0,1.0
2023-12-05,238.72000122070312,137971100,1.3328802806870987,2.0,0.0,0.0,0.0
2023-12-06,239.3699951171875,126436200,0.2722829646282676,2.0,-0.30462294816970825,0.0,1.0
2023-12-07,242.63999938964844,107142300,1.366087788429815,1.0,0.0,0.0,0.0
2023-12-08,243.83999633789062,103126800,0.49455858525417895,2.0,-0.43231943249702454,0.0,1.0
2023-12-11,239.74000549316406,97913900,-1.681426716823431,3.0,-0.16022750735282898,0.0,1.0
2023-12-12,237.00999450683594,95328300,-1.1387381846063915,3.0,0.0,0.0,0.0
2023-12-13,239.2899932861328,146286300,0.9619842336358264,1.0,0.0,0.0,0.0
2023-12-14,251.0500030517578,160829200,4.914543063053567,1.0,0.0,0.0,0.0
2023-12-15,253.5,135932800,0.9758999874367902,2.0,-0.45614561438560486,0.0,1.0
2023-12-18,252.0800018310547,116416500,-0.5601570686174839,3.0,-0.3133082588513692,0.0,1.0
2023-12-19,257.2200012207031,106737400,2.03903496997484,3.0,-0.5037729144096375,0.0,2.0
2023-12-20,247.13999938964844,125097000,-3.918825045959673,1.0,0.0,0.0,0.0
2023-12-21,254.5,109594200,2.9780693649462897,3.0,0.0,0.0,0.0
2023-12-22,252.5399932861328,93370100,-0.7701401626197146,0.0,0.0,0.0,0.0
2023-12-26,256.6099853515625,86892400,1.6116227819877649,3.0,0.0019437472025553386,1.0,1.0
2023-12-27,261.44000244140625,106494400,1.8822405072142834,1.0,-0.4677291810512543,0.0,1.0
2023-12-28,253.17999267578125,113619900,-3.1594284304201747,2.0,-0.8724620938301086,0.0,2.0
2023-12-29,248.47999572753906,100891600,-1.8563856087399966,2.0,0.0,0.0,0.0
