Week,Start_Date,End_Date,Start_Close,End_Close,Trading_Days,Total_Volume,article_count,positive_count,negative_count,Period_Return_pct,Mean_Sentiment
2024-07-20/2024-07-26,2024-07-22,2024-07-26,251.50999450683594,219.8000030517578,5,576337100,12.0,1.0,3.0,-12.607845472405776,-0.1314461330572764
2024-07-27/2024-08-02,2024-07-29,2024-08-02,232.10000610351562,207.6699981689453,5,464001100,9.0,1.0,3.0,-10.525638643746793,-0.17089245385593838
2024-08-03/2024-08-09,2024-08-05,2024-08-09,198.8800048828125,200.0,5,368934700,9.0,0.0,4.0,0.5631511915174414,-0.39594127072228325
2024-08-10/2024-08-16,2024-08-12,2024-08-16,197.49000549316406,216.1199951171875,5,389155900,10.0,0.0,2.0,9.433383516042436,-0.16290369033813476
2024-08-17/2024-08-23,2024-08-19,2024-08-23,222.72000122070312,220.32000732421875,5,381622100,12.0,1.0,6.0,-1.0775834605470047,-0.3659181594848633
2024-08-24/2024-08-30,2024-08-26,2024-08-30,213.2100067138672,214.11000061035156,5,311918400,11.0,2.0,5.0,0.42211616159844034,-0.25188176469369367
2024-08-31/2024-09-06,2024-09-03,2024-09-06,210.60000610351562,210.72999572753906,4,388898000,8.0,1.0,0.0,0.06172346640842541,0.08570455014705658
2024-09-07/2024-09-13,2024-09-09,2024-09-13,216.27000427246094,230.2899932861328,5,361293200,11.0,1.0,4.0,6.482632235956887,-0.2465944452719255
2024-09-14/2024-09-20,2024-09-16,2024-09-20,226.77999877929688,238.25,5,401668500,12.0,1.0,6.0,5.057765800530656,-0.34339570502440137
2024-09-21/2024-09-27,2024-09-23,2024-09-27,250.0,260.4599914550781,5,378582800,9.0,1.0,2.0,4.1839965820312575,-0.12125029828813341
2024-09-28/2024-10-04,2024-09-30,2024-10-04,261.6300048828125,250.0800018310547,5,429389600,10.0,3.0,2.0,-4.414632433665711,0.07057929039001465
2024-10-05/2024-10-11,2024-10-07,2024-10-11,240.8300018310547,217.8000030517578,5,416422000,10.0,0.0,3.0,-9.562761534774522,-0.24663167595863342
2024-10-12/2024-10-18,2024-10-14,2024-10-18,219.16000366210938,220.6999969482422,5,299317200,10.0,0.0,3.0,0.7026798961488945,-0.21785109341144562
